date,hour_et,calls_sold_d-7,puts_sold_d-7,calls_premium_d-7,puts_premium_d-7,calls_sold_d-6,puts_sold_d-6,calls_premium_d-6,puts_premium_d-6,calls_sold_d-5,puts_sold_d-5,calls_premium_d-5,puts_premium_d-5,calls_sold_d-4,puts_sold_d-4,calls_premium_d-4,puts_premium_d-4,calls_sold_d-3,puts_sold_d-3,calls_premium_d-3,puts_premium_d-3,calls_sold_d-2,puts_sold_d-2,calls_premium_d-2,puts_premium_d-2,calls_sold_d-1,puts_sold_d-1,calls_premium_d-1,puts_premium_d-1,calls_sold_d0,puts_sold_d0,calls_premium_d0,puts_premium_d0,calls_sold_d1,puts_sold_d1,calls_premium_d1,puts_premium_d1,calls_sold_d2,puts_sold_d2,calls_premium_d2,puts_premium_d2,calls_sold_d3,puts_sold_d3,calls_premium_d3,puts_premium_d3,calls_sold_d4,puts_sold_d4,calls_premium_d4,puts_premium_d4,calls_sold_d5,puts_sold_d5,calls_premium_d5,puts_premium_d5,calls_sold_d6,puts_sold_d6,calls_premium_d6,puts_premium_d6,calls_sold_d7,puts_sold_d7,calls_premium_d7,puts_premium_d7,spy_prev_close,close,day_of_week,calls_sold_total,puts_sold_total,pc_ratio,imbalance,calls_premium_total,puts_premium_total,dealer_sold_premium_imbalance,ret_next_hour,y_syn,y
2024-01-02,9,233.0,15906.0,96169.31,121390.37,1193.0,23098.0,368929.07,346191.70999999996,3956.0,49610.0,936010.2899999999,1526847.57,14674.0,57593.0,2210130.69,3463588.4,52197.0,67096.0,5281586.78,6438365.359999999,56625.0,25671.0,3438759.54,3581236.94,34717.0,12509.0,1113403.57,2599838.92,18734.0,6284.0,282861.37,1825643.71,28747.0,2439.0,166435.03,950143.4199999999,16693.0,837.0,57757.11,393147.22000000003,5137.0,195.0,12645.33,118246.07,3238.0,77.0,4491.0599999999995,55416.9,10161.0,83.0,10910.84,66895.0,14525.0,39.0,14579.01,34647.0,571.0,503.0,665.18,520533.0,475.31,472.27,1,261401.0,261940.0,1.002061966098056,-539.0,13995334.179999998,22042131.589999996,0.22328976907966902,-0.0012492853664216946,DOWN,DOWN
2024-01-02,10,878.0,18459.0,334771.36,104779.7,613.0,15265.0,182463.2,156774.97,2936.0,46457.0,622252.63,972413.7999999999,17561.0,72390.0,2257299.4,3278094.59,72104.0,67494.0,5824212.08,5564434.08,66857.0,15175.0,2923694.37,2056354.1,36256.0,4278.0,710778.99,943026.91,26903.0,3854.0,257257.69999999998,1212837.38,20605.0,609.0,102822.45999999999,238604.49,22973.0,542.0,57038.15,270180.13,5304.0,77.0,9464.06,45674.07,3290.0,37.0,3930.65,26561.0,6081.0,35.0,6092.96,27877.0,283.0,2.0,283.0,1846.0,370.0,1.0,370.0,983.0,475.31,471.68,1,283014.0,244675.0,0.8645332033049088,38339.0,13292731.010000002,14900441.220000003,0.05702480717261038,0.003190722523744895,UP,UP
2024-01-02,11,225.0,4702.0,98330.72,13532.289999999999,392.0,9756.0,136210.85,45434.68,2567.0,24936.0,616252.8200000001,236405.71,12251.0,51957.0,1811612.3,1180981.7,64992.0,54288.0,5660244.78,2640696.41,76573.0,30676.0,3722466.3000000003,2584336.55,47816.0,4271.0,1180441.75,604359.64,34785.0,2422.0,279395.44,605200.7100000001,33462.0,787.0,125446.15,274434.18,5955.0,285.0,12111.35,126570.98999999999,3622.0,101.0,3834.48,59281.77,545.0,28.0,680.6700000000001,18320.96,521.0,80.0,522.02,60000.0,250.0,0.0,263.8,0.0,289.0,2.0,289.0,1938.0,475.31,473.185,1,284245.0,184291.0,0.6483526535219675,99954.0,13648102.430000002,8451493.59,-0.23514496985813074,-0.0011306360091719388,DOWN,DOWN
2024-01-02,12,194.0,2541.0,97453.51,5092.42,322.0,5014.0,131709.11,13690.279999999999,1524.0,34833.0,466441.23,174264.89,1851.0,25673.0,398715.49,269347.55,17436.0,58830.0,2242853.54,1469629.3800000001,55889.0,67680.0,3768806.25,3944707.55,57567.0,17188.0,1706671.89,1922250.71,18552.0,2469.0,182745.22,464065.16,20543.0,450.0,77956.93,127296.15,5001.0,1493.0,10244.9,531972.47,898.0,142.0,1092.5,64397.0,1713.0,20.0,1817.14,11657.0,228.0,13.0,231.0,8953.0,105.0,3.0,105.0,2337.99,50.0,0.0,50.0,0.0,475.31,472.65,1,181873.0,216349.0,1.1895608474034653,-34476.0,9086893.71,9009661.55,-0.004267782397830552,-0.0010580768010154953,DOWN,DOWN
2024-01-02,13,349.0,689.0,157596.92,980.26,238.0,10204.0,86654.27,27070.23,1628.0,15776.0,415663.07,70988.34,2372.0,42628.0,404641.78,435290.23,39524.0,59278.0,3338116.15,1805962.54,62364.0,34513.0,2048682.19,2568883.48,29202.0,3241.0,269961.67,499647.39,31305.0,2151.0,96908.98,537879.89,11282.0,287.0,20279.82,103579.99,1186.0,619.0,1507.33,288970.97,809.0,11.0,809.0,5971.0,313.0,35.0,314.0,22710.0,78.0,3.0,142.01,2250.9900000000002,59.0,4.0,59.0,3572.0,4.0,0.0,4.0,0.0,475.31,472.1499,1,180713.0,169439.0,0.9376137853948658,11274.0,6841340.1899999995,6373757.31,-0.035382476746763654,-0.0025943032075194518,DOWN,DOWN
2024-01-02,14,544.0,1422.0,198707.43,2421.26,452.0,8353.0,110113.76,32495.84,2300.0,57608.0,384632.19,475834.28,19198.0,73705.0,1448827.64,1877610.93,89326.0,57501.0,2687002.7800000003,3539215.8,41553.0,7460.0,368584.44,1026248.52,15173.0,1425.0,43393.51,334235.88,9003.0,1420.0,10041.99,480743.66,9040.0,176.0,9170.2,82669.73,9233.0,187.0,9294.28,105120.95,460.0,44.0,460.0,28524.04,61.0,43.0,61.0,31685.04,126.0,4.0,126.0,3422.0,34.0,4.0,34.0,3596.0,56.0,0.0,56.0,0.0,475.31,470.925,1,196559.0,209352.0,1.0650847837032897,-12793.0,5270505.220000002,8023823.93,0.20710474962174308,0.003556829643786182,UP,UP
2024-01-02,15,555.0,9120.0,159789.77,15741.16,2981.0,22221.0,575127.52,73598.71,18746.0,65385.0,1916224.33,775476.25,68524.0,76866.0,2505245.29,3122210.27,64750.0,35754.0,922151.8999999999,1981827.78,45659.0,15880.0,80902.46,1791897.36,14313.0,2123.0,15283.79,603179.6799999999,7194.0,2519.0,7218.0,989747.14,370.0,2541.0,370.0,1234018.51,458.0,381.0,458.0,225592.04,129.0,207.0,129.0,145942.02,329.0,35.0,329.0,26532.0,162.0,29.0,162.0,25694.0,329.0,0.0,329.0,0.0,50.0,0.0,50.0,0.0,475.31,472.6,1,224549.0,233061.0,1.0379070937744639,-8512.0,6183770.0600000005,11011456.919999998,0.28075737910379817,-0.005564959796868366,DOWN,DOWN
2024-01-03,9,313.0,17624.0,135662.03,122661.61,701.0,25521.0,237288.46,381450.26,1076.0,29624.0,270007.56,892240.61,8409.0,53151.0,1413472.5,3017762.36,27545.0,67900.0,3108240.03,6387817.84,54668.0,26490.0,3654874.94,3881166.77,37159.0,6826.0,1291403.78,1454225.21,21561.0,3062.0,346256.42,922279.77,14119.0,1363.0,106068.28,518129.7,8584.0,597.0,32771.369999999995,287798.62,4654.0,151.0,9221.23,87256.26000000001,2953.0,42.0,3269.65,28524.020000000004,2101.0,9.0,2189.3,6945.0,543.0,93.0,545.99,81412.92,1257.0,24.0,1259.0000000000002,23924.0,472.65,469.97,2,185643.0,232477.0,1.252279913596245,-46834.0,10612530.54,18093594.950000003,0.2606086430091664,-0.0012341213268932903,DOWN,DOWN
2024-01-03,10,422.0,19300.0,149071.2,183579.79,1896.0,57120.0,461386.88,1125076.93,8842.0,82612.0,1446459.23,3275153.68,46171.0,114178.0,4950906.19,7963208.93,99565.0,81080.0,7409682.94,8898093.25,105990.0,20660.0,4995107.21,3221263.87,64398.0,4134.0,1543684.56,1083948.03,30137.0,2465.0,327744.69,852531.6,17327.0,598.0,76586.56,271788.25,11572.0,599.0,34822.18,326203.32,2934.0,22.0,4329.35,13787.99,2407.0,13.0,3280.07,10310.0,3426.0,10.0,3507.62,8277.0,184.0,121.0,188.0,121891.0,314.0,0.0,315.62,0.0,472.65,469.39,2,395585.0,382912.0,0.9679639015635882,12673.0,21407072.300000004,27355113.64,0.12198061316034335,-0.0002767421547113561,FLAT,FLAT
2024-01-03,11,313.0,12205.0,110662.16,76111.83,541.0,22960.0,146785.51,295645.92,4276.0,37652.0,807965.29,1076965.74,25913.0,56759.0,3010648.65,3340987.92,58726.0,29991.0,3706123.69,3169621.5,34886.0,2092.0,1092725.32,359081.95,17113.0,1441.0,242225.56,373926.86,5527.0,602.0,37477.16,209559.08,8425.0,258.0,27768.15,112986.67,2445.0,112.0,4615.27,61918.11,1255.0,110.0,1412.8400000000001,71089.0,839.0,12.0,839.0,8655.0,16.0,0.0,16.0,0.0,175.0,2.0,175.0,1907.0,311.0,1.0,311.0,1039.0,472.65,469.2601,2,160761.0,164197.0,1.0213733430370464,-3436.0,9189750.6,9159495.58,-0.0016488426665164457,0.002216041807091603,UP,UP
