date,hour_et,calls_sold_d-7,puts_sold_d-7,calls_premium_d-7,puts_premium_d-7,calls_sold_d-6,puts_sold_d-6,calls_premium_d-6,puts_premium_d-6,calls_sold_d-5,puts_sold_d-5,calls_premium_d-5,puts_premium_d-5,calls_sold_d-4,puts_sold_d-4,calls_premium_d-4,puts_premium_d-4,calls_sold_d-3,puts_sold_d-3,calls_premium_d-3,puts_premium_d-3,calls_sold_d-2,puts_sold_d-2,calls_premium_d-2,puts_premium_d-2,calls_sold_d-1,puts_sold_d-1,calls_premium_d-1,puts_premium_d-1,calls_sold_d0,puts_sold_d0,calls_premium_d0,puts_premium_d0,calls_sold_d1,puts_sold_d1,calls_premium_d1,puts_premium_d1,calls_sold_d2,puts_sold_d2,calls_premium_d2,puts_premium_d2,calls_sold_d3,puts_sold_d3,calls_premium_d3,puts_premium_d3,calls_sold_d4,puts_sold_d4,calls_premium_d4,puts_premium_d4,calls_sold_d5,puts_sold_d5,calls_premium_d5,puts_premium_d5,calls_sold_d6,puts_sold_d6,calls_premium_d6,puts_premium_d6,calls_sold_d7,puts_sold_d7,calls_premium_d7,puts_premium_d7,spy_prev_close,close,day_of_week,calls_sold_total,puts_sold_total,pc_ratio,imbalance,calls_premium_total,puts_premium_total,dealer_sold_premium_imbalance,ret_next_hour,y_syn,y
2024-06-03,9,742.0,4780.0,655824.71,11886.029999999999,964.0,10634.0,745053.44,42518.44,1628.0,20449.0,1103126.22,97111.29,2466.0,21242.0,1417544.68,155219.48,3464.0,16363.0,1599238.78,180047.81,4749.0,22315.0,1818677.25,426628.52,3988.0,29865.0,1101288.82,957930.04,9511.0,52603.0,1883778.03,2900256.64,29225.0,84036.0,3664077.05,7164235.54,59685.0,35212.0,4548862.78,4370992.1899999995,48992.0,9867.0,1931547.58,1745891.06,27004.0,1659.0,447926.93,424236.23,18598.0,198.0,138035.0,71060.98,7020.0,24.0,23316.9,11107.99,2617.0,3.0,5018.099999999999,1592.0,527.37,527.92,0,220653.0,309250.0,1.4015218465173755,-88597.0,21083316.270000003,18560714.24,-0.06363132097185799,-0.0035990301560842055,DOWN,DOWN
2024-06-03,10,185.0,35885.0,145828.83,162560.83,176.0,25651.0,109582.09,147849.87,598.0,62714.0,312416.97,438119.35,1547.0,52007.0,676655.33,596292.21,1674.0,29929.0,630846.26,805372.43,4820.0,56814.0,1103764.58,2469479.2600000002,14389.0,90531.0,1922342.14,5611542.67,31156.0,116272.0,3378264.94,9439480.32,70205.0,79879.0,5484959.16,9030331.46,85610.0,19232.0,3834156.65,3261266.87,79483.0,1393.0,1496701.19,334951.14,24970.0,667.0,214862.1,232676.34,37496.0,98.0,158732.93,44959.05,5202.0,64.0,10443.34,36022.04,1622.0,2.0,2165.36,1369.0,527.37,526.02,0,359133.0,571138.0,1.5903244758889037,-212005.0,19481721.87,32612272.840000004,0.25205498336412274,0.0001330747880309682,FLAT,FLAT
2024-06-03,11,145.0,32689.0,90478.16,190486.22999999998,565.0,36666.0,303112.76,255335.53,1537.0,13986.0,677934.43,184982.58,1596.0,22615.0,531738.92,561087.29,1714.0,39488.0,403710.27999999997,1475894.35,12883.0,55400.0,2223436.42,3607125.62,40804.0,48867.0,4534823.97,5002876.47,57720.0,16247.0,3762716.74,2609122.36,47165.0,11255.0,1662242.74,2363677.69,33689.0,1107.0,579749.03,355378.01999999996,26951.0,522.0,222684.1,204442.95,24239.0,41.0,104273.61,20338.02,15308.0,11.0,34582.01,6392.0,1981.0,1.0,2360.84,660.0,1488.0,0.0,1493.07,0.0,527.37,526.09,0,267785.0,278895.0,1.0414885075712177,-11110.0,15135337.079999998,16837799.11,0.053246638674513715,-0.0043718755346044665,DOWN,DOWN
2024-06-03,12,1933.0,30039.0,791736.13,410826.3,504.0,32952.0,170870.8,835798.75,3654.0,44341.0,849359.45,1990997.2,15638.0,64638.0,2663599.2,4786058.59,49912.0,68320.0,5543622.69,7111015.84,53955.0,50638.0,4013581.09,6505565.05,51094.0,25741.0,2464808.79,4319087.53,54440.0,7082.0,1584542.79,1941466.79,39354.0,2928.0,572089.52,1099437.84,41786.0,670.0,289268.49,315554.15,20982.0,715.0,83585.79,428811.93999999994,13970.0,6.0,30885.39,3946.0,2705.0,23.0,3924.7599999999998,16808.96,1613.0,10.0,1864.54,9119.999999999998,479.0,0.0,479.0,0.0,527.37,523.79,0,352019.0,328103.0,0.9320604853717213,23916.0,19064218.429999996,29774494.94,0.2192989079965967,0.0026728268962753934,UP,UP
2024-06-03,13,1095.0,32117.0,432060.97,358890.89,2037.0,29627.0,572987.37,688647.93,3867.0,43241.0,780237.6,1992284.32,20739.0,45469.0,3270360.53,3270383.41,50355.0,42201.0,5429954.58,3239241.65,79790.0,27397.0,6279616.85,3084403.65,62609.0,7872.0,2776843.91,1337365.63,42252.0,1536.0,985782.94,443187.20999999996,38476.0,813.0,450615.42,321277.84,25817.0,1319.0,146482.66,723305.31,36491.0,234.0,129314.58,150090.0,6047.0,100.0,12003.9,57600.0,2187.0,1.0,2242.83,678.0,1489.0,0.0,1489.0,0.0,30.0,0.0,30.0,0.0,527.37,525.19,0,373281.0,231927.0,0.6213201314837312,141354.0,21270023.14,15667355.840000002,-0.15168015313250705,0.0010662807745767137,UP,UP
2024-06-03,14,475.0,8360.0,262893.28,22652.62,271.0,26285.0,124773.92,113761.08,417.0,34874.0,149344.07,172571.49,2028.0,21785.0,519707.75,285062.12,8421.0,32338.0,1457611.62,968534.47,47555.0,53587.0,4871406.37,3095861.1,69541.0,27097.0,3648490.58,2691589.03,38908.0,2787.0,918105.03,439198.64,41035.0,1331.0,361921.52,341289.05,42209.0,170.0,189541.98,60053.200000000004,15387.0,3.0,29863.93,1296.0,2511.0,3.0,2650.2400000000002,1688.0,10733.0,4.0,10737.94,2612.0,229.0,2.0,229.0,1535.0,0.0,0.0,0.0,0.0,527.37,525.75,0,279720.0,208626.0,0.7458386958396045,71094.0,12547277.229999999,8197703.8,-0.20966871089010536,0.0038421302900617745,UP,UP
2024-06-03,15,452.0,1394.0,273488.3,1420.8700000000001,686.0,5872.0,362138.01,6267.26,439.0,8875.0,187247.9,12030.3,1559.0,23730.0,498496.43,76138.15000000001,4538.0,33374.0,1001613.71,177483.21,19694.0,44547.0,2581474.91,699385.15,91375.0,50740.0,5648392.19,2218231.52,80922.0,16441.0,1769286.2,1279666.92,59983.0,2515.0,318656.47000000003,408253.19,52410.0,465.0,127728.2,126077.95,26544.0,147.0,29004.74,55582.01,6257.0,270.0,6375.62,137586.0,745.0,23.0,745.0,12970.0,48.0,0.0,48.0,0.0,24.0,2.0,24.0,1490.0,527.37,527.77,0,345676.0,188395.0,0.5450045707554328,157281.0,12804719.679999998,5212582.53,-0.42138035214760255,-0.002425298899141615,DOWN,DOWN
2024-06-04,9,34.0,7777.0,18658.97,92531.68000000001,292.0,12757.0,130423.28,256814.16,541.0,16616.0,198211.56,517838.9,708.0,25046.0,198140.57,1224104.26,4181.0,43840.0,862204.91,3300987.83,16517.0,47734.0,2363343.08,5309670.38,44540.0,18131.0,4132260.85,2883933.59,29703.0,2982.0,1623384.29,655386.86,21673.0,448.0,642999.04,133502.67,18430.0,1039.0,275360.82,392630.75,12364.0,509.0,96067.77,255447.65,15480.0,13.0,57702.36,7302.0,6717.0,2.0,13343.82,1260.0,1794.0,26.0,1988.7,20166.97,5681.0,2.0,5681.0,1818.0,527.8,526.49,1,178655.0,176922.0,0.9902997397218645,1733.0,10619771.02,15053395.700000001,0.17269488911727945,-0.0010636479325344414,DOWN,DOWN
2024-06-04,10,266.0,20444.0,147891.0,178361.96,292.0,28117.0,138236.03,433979.59,860.0,38553.0,332252.52,1001624.49,1713.0,68047.0,503473.51,2785098.67,9476.0,95277.0,2034416.47,6049476.5,38499.0,109741.0,5970663.12,10419087.85,94324.0,47915.0,9760350.67,6384599.93,117672.0,11560.0,6908367.97,2117628.85,60294.0,1762.0,2051582.6400000001,439465.96,41896.0,1045.0,722074.31,378312.47,49110.0,1282.0,347264.07,599010.1,18679.0,55.0,64167.69,30752.0,10677.0,203.0,28165.18,132425.99,1583.0,4.0,1797.06,3020.0,709.0,2.0,709.0,1660.0,527.8,525.93,1,446050.0,424007.0,0.9505817733439064,22043.0,29011411.24,30954504.360000003,0.03240329277987331,-0.0012927575913143838,DOWN,DOWN
2024-06-04,11,350.0,7904.0,174234.32,78255.41,1866.0,20249.0,715803.31,328957.1,860.0,28723.0,256340.81,844004.96,2658.0,65204.0,602078.42,3012005.65,15985.0,71454.0,2392642.88,5530717.05,48077.0,54236.0,4684643.93,6217776.8,51502.0,18044.0,2896798.21,3125992.59,40362.0,2257.0,1091915.09,563470.97,22615.0,314.0,299648.4,103539.01,24472.0,1352.0,165100.68,561122.01,10361.0,389.0,38003.78,199818.63,2451.0,41.0,4711.8,25472.0,1202.0,15.0,1494.95,10692.0,1110.0,0.0,1314.95,0.0,159.0,0.0,159.0,0.0,527.8,525.2501,1,224030.0,270182.0,1.2060081239110565,-46152.0,13324890.529999997,20601824.18,0.2144897822321385,0.0023413608107834077,UP,UP
